2019,MAY,,,,,,,,,
,,,,,,,,,,
Date,Merchant,Note,Price,Food,Gas,Credit/Cash,,,,
6/1/2019,Spartan Race,Merch,99.63,,,Chase,,TOTAL:,"$1,129.00",
6/1/2019,Spartan Race,Beast,129.00,,,Chase,,Food:,$380.89,33.74%
6/1/2019,Marukai,,33.31,X,,Chase,,Gas:,$169.16,14.98%
6/1/2019,Chevron,,54.54,,X,Chase,,Uber/Lyft/Bart:,$0.00,0.00%
6/2/2019,Safeway,,55.93,X,,Chase,,Utilities:,$0.00,0.00%
6/3/2019,Amazon,,63.30,,,Chase,,Entertainment:,$578.95,51.28%
6/3/2019,Amazon,,31.13,,,Chase,,,,
6/6/2019,Amazon,,13.99,,,Chase,,,,
6/7/2019,Pho Saigon,,14.00,X,,Chase,,,,
6/7/2019,Target,,38.27,,,Chase,,,,
6/7/2019,Chevron,,58.70,,X,Chase,,,,
6/8/2019,Fastrak,,25.00,,,Chase,,,,
6/8/2019,Safeway,,12.78,X,,Chase,,,,
6/8/2019,Home Depot,,42.05,,,Chase,,,,
6/8/2019,Dominos,,12.40,X,,Chase,,,,
6/9/2019,Ben Tre,,15.00,X,,Chase,,,,
6/9/2019,Safeway,,36.89,X,,Chase,,,,
6/11/2019,Pho Saigon,,25.47,X,,Chase,,,,
6/11/2019,Hawaiian Poke,,12.84,X,,Chase,,,,
6/11/2019,Spirit,,94.59,,,Chase,,,,
6/12/2019,Amazon,,16.99,,,Chase,,,,
6/12/2019,Chibog,Filipino,16.26,X,,Chase,,,,
6/12/2019,Doordash,,9.99,X,,Chase,,,,
6/13/2019,Chevron,,55.92,,X,Chase,,,,
6/13/2019,Ben Tre,,18.00,X,,Chase,,,,
6/13/2019,Kemuri,Tims Dinner,70.00,X,,Chase,,,,
6/14/2019,Marukai,,48.02,X,,Chase,,,,
6/14/2019,Fastrak,,25.00,,,Chase,,,,
