2019,MARCH,,,,,,,,,
,,,,,,,,,,
Date,Merchant,Note,Price,Food,Gas,Credit/Cash,,,,
3/8/2019,Oakland Beer,,10.11,,,Venmo,,TOTAL:,"$3,447.31",
3/11/2019,Lyft,LAS -> PH,7.41,,,Venmo,,Food:,"$1,058.00",30.69%
3/10/2019,Mystere,,93.00,,,Venmo,,Gas:,$206.82,6.00%
3/11/2019,Sushi Way,,35.00,X,,Venmo,,Uber/Lyft/Bart:,$166.19,4.82%
3/11/2019,KBBQ,,36.85,X,,Venmo,,Utilities:,$0.00,0.00%
3/21/2019,March Madness Bracket,,20.00,,,Venmo,,Entertainment:,"$2,016.30",58.49%
3/22/2019,Pho,,15.00,X,,Venmo,,,,
3/24/2019,Thai Fresh,Duck Fried Rice,60.00,X,,Venmo,,,,
3/25/2019,Youtube TV,,6.67,,,Venmo,,,,
3/25/2019,Utilities,Internet,43.31,,,Venmo,,,,
3/1/2019,Amazon,,65.44,,,Chase,,,,
3/1/2019,Buffalo Wild Wings,,50.00,X,,Chase,,,,
3/2/2019,Pho Saigon,,15.00,X,,Chase,,,,
3/1/2019,Safeway,,2.04,,,Chase,,,,
3/1/2019,Starbucks,,3.55,,,Chase,,,,
3/1/2019,Amazon,Cop outfit,33.99,,,Chase,,,,
3/3/2019,Chevron,,50.41,,X,Chase,,,,
3/4/2019,Hawaiian Poke,,12.90,X,,Chase,,,,
3/3/2019,Little Sheep Hot Pot,Vi,90.00,X,,Chase,,,,
3/4/2019,Southwest,,29.10,,,Chase,,,,
3/6/2019,Hertz,,26.31,,,Chase,,,,
3/5/2019,Starbucks,,4.45,,,Chase,,,,
3/7/2019,Pho Saigon,,15.00,X,,Chase,,,,
3/6/2019,Specialtys,,9.87,X,,Chase,,,,
3/7/2019,Starbucks,,6.50,,,Chase,,,,
3/8/2019,Target,,51.71,,,Chase,,,,
3/9/2019,Spartan Race,Ring,36.96,,,Chase,,,,
3/10/2019,Uber,,5.69,,,Chase,,,,
3/9/2019,Bacchanal,,62.50,X,,Chase,,,,
3/12/2019,Uber,,7.96,,,Chase,,,,
3/12/2019,Amazon,,18.17,,,Chase,,,,
